created_at	name	screen_name	description	lang	location	verified	status_lang	status_text	time_zone	contributors_enabled	default_profile	default_profile_image	favourites_count	follow_request_sent	followers_count	following	friends_count	geo_enabled	has_extended_profile	id_str	is_translation_enabled	is_translator	listed_count	notifications	profile_background_color	profile_background_image_url	profile_background_tile	profile_banner_url	profile_image_url	profile_link_color	profile_sidebar_border_color	profile_sidebar_fill_color	profile_text_color	profile_use_background_image	protected	status_contributors	status_coordinates	status_created_at	status_favorite_count	status_favorited	status_geo	status_id_str	status_in_reply_to_screen_name	status_in_reply_to_status_id_str	status_in_reply_to_user_id_str	status_is_quote_status	status_latitude	status_longitude	status_place	status_possibly_sensitive	status_retweet_count	status_retweeted	status_source	status_truncated	statuses_count	url	utc_offset	account_type
Sat Feb 19 18:44:00 +0000 2011	Rinku Vishwakarma	Rinku101990	student of technical university	en	S.I.T. MATHURA,VARANASI	False	en	Try this Music Store Music Web Templates category #HTML5 #css3 #responsive #web #template https://t.co/JmjwsR82aT via @w3layouts33		False	True	False	3	False	27	False	9	True	True	254657922	False	False	0	False	C0DEED	http://abs.twimg.com/images/themes/theme1/bg.png	False	https://pbs.twimg.com/profile_banners/254657922/1390242889	http://pbs.twimg.com/profile_images/425335395706867712/3DPrHrO6_normal.jpeg	0084B4	C0DEED	DDEEF6	333333	True	False		False	Fri Jul 01 15:19:07 +0000 2016	0.0	False		748898737724854272				False				False	0.0	False	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	False	28			1
Sat Dec 10 16:59:05 +0000 2011	Dē	DeanneCrooks	Practitioner plus at @ncsthechallenge , soon to be student at @myBCU and #tumblr enthusiast.	en		False	en	RT @CommonBlackGirI: When you feel everything is going great and then life hits you https://t.co/HF5aYHDW0S	London	False	False	False	337	False	113	False	267	False	True	433498965	False	False	6	False	C0DEED	http://pbs.twimg.com/profile_background_images/378800000159791637/B8pLjIrx.jpeg	False	https://pbs.twimg.com/profile_banners/433498965/1461800860	http://pbs.twimg.com/profile_images/746721323267821569/6ZcRglNR_normal.jpg	879296	FFFFFF	8F073E	333333	True	False		False	Sun Aug 21 09:29:08 +0000 2016	0.0	False		767292441263218688				False				False	942.0	False	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	False	2873		3600.0	1
Sat Mar 01 17:09:38 +0000 2014	K / T	ownworstenemyK	im my own worst enemy	en		False	en	with the side niggas #fallback		False	True	False	47	False	30	False	54	False	False	2373510957	False	False	0	False	C0DEED	http://abs.twimg.com/images/themes/theme1/bg.png	False	https://pbs.twimg.com/profile_banners/2373510957/1393694094	http://pbs.twimg.com/profile_images/439811049442017280/fZV-lv2G_normal.jpeg	0084B4	C0DEED	DDEEF6	333333	True	False		False	Wed Apr 23 21:23:29 +0000 2014	2.0	False		459080141650808832				False					0.0	False	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	False	72			1
Sun Nov 13 08:19:05 +0000 2011	vhener13	vhener13	IM adorable like Allison Harvard!!!!        simple and cute guy!!!	en	Philippines	False	und	@Dominiqueantm hi		False	False	False	0	False	0	False	23	False	False	411326074	False	False	0	False	C0DEED	http://pbs.twimg.com/profile_background_images/378044443/toshiro.jpg	True		http://pbs.twimg.com/profile_images/1674846340/302353_286348471397557_100000672202991_944734_935198734_n_normal.jpg	0084B4	C0DEED	DDEEF6	333333	True	False		False	Sun Dec 11 09:32:17 +0000 2011	0.0	False		145798043936104448	Dominiqueantm		369234942.0	False					0.0	False	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	False	17			1
Tue Aug 30 18:55:45 +0000 2011	Promethean Biofuels	PrometheanB	As a cooperative, we function for the good of our employee-owners and consumer-members. The global environment for alternative energy is expanding tremendously!	en	Temecula, CA	False	en	Lush-4-Life http://t.co/zOO1M3YP0Q		False	False	False	0	False	522	False	1097	False	False	365027879	False	False	8	False	C0DEED	http://pbs.twimg.com/profile_background_images/322105005/logo.jpg	True		http://pbs.twimg.com/profile_images/1522726731/smlogo_normal.jpg	0084B4	C0DEED	DDEEF6	333333	True	False		False	Sun Apr 20 10:35:06 +0000 2014	1.0	False		457829806772879361				False				False	0.0	False	"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>"	False	163	http://t.co/ngy6j8cQsw		2
Thu Aug 28 04:33:08 +0000 2014	saljoog Babazadeh	SaljoogB	architect, revit pro user, and a beginner web designer.. Loving technology, all aspects of it, computers, cars, internet of things and whatever microsoft brings	en	orumiyeh, iran	False	en	@ClashWithCam i tried a lot but it didnot happen! http://t.co/fJdgH0VZty	Tehran	False	False	False	58	False	21	False	163	False	True	2753090098	False	False	1	False	000000	http://abs.twimg.com/images/themes/theme1/bg.png	False	https://pbs.twimg.com/profile_banners/2753090098/1432584296	http://pbs.twimg.com/profile_images/504849950304632832/j5GZGWiP_normal.jpeg	4A913C	000000	000000	000000	False	False		False	Fri Jul 10 00:10:06 +0000 2015	0.0	False		619297509668716545	CamaroBroGaming	6.19297049381e+17	1896055218.0	False				False	0.0	False	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	False	2	https://t.co/nlzyreQ06s	16200.0	1
Wed Jun 06 13:11:51 +0000 2012	Alice Kieltyka	akieltyka	I am a York University student majoring in Children's Studies. I am also in the Concurrent Education Program in the P/J Division.	en	Toronto, ON	False	und	http://t.co/kYy6b3h0Gx @joannekim90		False	True	False	0	False	5	False	8	False	False	600957350	False	False	0	False	C0DEED	http://abs.twimg.com/images/themes/theme1/bg.png	False		http://pbs.twimg.com/profile_images/2283700321/bogpgk5syuy28rh2tiui_normal.jpeg	0084B4	C0DEED	DDEEF6	333333	True	False		False	Sat Dec 20 08:50:33 +0000 2014	0.0	False		546226135097675776				False				False	0.0	False	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	False	27			1
Tue Jul 10 08:01:16 +0000 2012	Mamgo Willy	MamgoWilly	I Am the daughter in whom God is well pleased!!!	en		False	en	@Dinebosslady2_0 Hey Sweet Pea, I am very well thanks,,,just having a very lazy Saturday...Hope you well		False	True	False	26	False	4	False	10	False	False	631869891	False	False	0	False	C0DEED	http://abs.twimg.com/images/themes/theme1/bg.png	False	https://pbs.twimg.com/profile_banners/631869891/1414429140	http://pbs.twimg.com/profile_images/378800000266194619/0b1c29c1c82110ba488c8da76971611a_normal.jpeg	0084B4	C0DEED	DDEEF6	333333	True	False		False	Sat Jan 24 06:57:58 +0000 2015	0.0	False		558881375299076096				False					0.0	False	"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>"	False	143			1
Sat Jan 31 17:56:45 +0000 2015	MohEvans 	mhoevans	I fell in love with you.   I don't know how.   I don't know why.   I just did.	en	I fell in love 	False	en	Petrol prices cut by Rs 2.43 per litre; diesel by Rs 3.60 per litre http://t.co/bs76GXAS7L http://t.co/O6NFeAQAW7		False	True	False	985	False	405	False	1920	True	False	3005212489	False	False	0	False	C0DEED	http://abs.twimg.com/images/themes/theme1/bg.png	False	https://pbs.twimg.com/profile_banners/3005212489/1430757404	http://pbs.twimg.com/profile_images/626422704107687936/gKm4KXpR_normal.jpg	0084B4	C0DEED	DDEEF6	333333	True	False		False	Fri Jul 31 16:59:30 +0000 2015	24.0	False		627161676949798912				False				False	0.0	False	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	False	1245			1
Tue Jul 14 17:12:05 +0000 2009	Qophy	qophy	Hello stalker,welcome 2 my page I hope u got enough info here, anyway just incase you didnt get enough u can try google :)	en	Ghana	False	en	I just finished running 4.82 miles in 1h:04m:13s with #Endomondo #endorphins https://t.co/fts7sqaRWD	London	False	False	False	54	False	720	False	581	True	False	56752080	False	False	6	False	131516	http://pbs.twimg.com/profile_background_images/201424053/SDC10480.JPG	False	https://pbs.twimg.com/profile_banners/56752080/1444254386	http://pbs.twimg.com/profile_images/692464118939402240/UWm5IfdC_normal.jpg	009999	EEEEEE	EFEFEF	333333	True	False		True	Fri Aug 12 06:17:40 +0000 2016	1.0	False	{u'type': u'Point', u'coordinates': [5.6329462, -0.2301848]}	763982767931596800				False	5.6329462	-0.2301848	{u'full_name': u'Accra, Ghana', u'url': u'https://api.twitter.com/1.1/geo/id/003e299707d0375b.json', u'country': u'Ghana', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-0.3470252, 5.51713], [-0.0215619, 5.51713], [-0.0215619, 5.7292666], [-0.3470252, 5.7292666]]]}, u'contained_within': [], u'country_code': u'GH', u'attributes': {}, u'id': u'003e299707d0375b', u'name': u'Accra'}	False	0.0	False	"<a href=""http://www.endomondo.com"" rel=""nofollow"">Endomondo</a>"	False	10408	http://t.co/3qRO2bwSbM	3600.0	1
Mon May 26 14:51:18 +0000 2014	TTM	ttm_sa	Your Trustworthy Transaction Intermediary	en	Johannesburg, South Africa	False	en	Straight Talk: #Tips to avoid #money-flipping #scams http://t.co/jliDFrbSKb	Pretoria	False	True	False	1	False	27	False	59	False	False	2525186244	False	False	0	False	C0DEED	http://abs.twimg.com/images/themes/theme1/bg.png	False	https://pbs.twimg.com/profile_banners/2525186244/1401115966	http://pbs.twimg.com/profile_images/470940510094229504/QkHMkxJI_normal.jpeg	0084B4	C0DEED	DDEEF6	333333	True	False		False	Tue Sep 01 09:12:08 +0000 2015	0.0	False		638640473846976512				False				False	0.0	False	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	False	32	http://t.co/0aLoMZ4JTq	7200.0	2
Sat Jun 18 11:34:14 +0000 2011	Cambs Driving School	CambsDriving	Cambridgeshire based Driving School, covering all surrounding areas. Highly experienced Instructor (DSA approved Grade 6)offering very reasonable prices	en	Cambridgeshire	False	en	I just updated my website. http://t.co/qdPp2T9mUx	London	False	False	False	0	False	76	False	30	False	False	319590797	False	False	2	False	022330	http://abs.twimg.com/images/themes/theme15/bg.png	False	https://pbs.twimg.com/profile_banners/319590797/1385545135	http://pbs.twimg.com/profile_images/1808551308/l-plate_normal.png	0084B4	A8C7F7	C0DFEC	333333	True	False		False	Sun Aug 31 06:33:39 +0000 2014	0.0	False		505966627741896705				False				False	0.0	False	"<a href=""http://www.weebly.com/"" rel=""nofollow"">Weebly App</a>"	False	57	http://t.co/qdPp2T9mUx	3600.0	2
Mon Jul 22 22:26:18 +0000 2013	bDot	bdotstudio	bDot Architecture is an architecture studio with a holistic approach to design and space, offering unique & creative building designs and furniture. #Design	en	Birmingham, AL	False	en	A design for our friends at Hero Doughnuts for a new store in an existing building here in Birmingham.  Playing... https://t.co/xPZFSA1L6K	Eastern Time (US & Canada)	False	True	False	16	False	109	False	306	False	False	1613761344	False	False	8	False	C0DEED	http://abs.twimg.com/images/themes/theme1/bg.png	False	https://pbs.twimg.com/profile_banners/1613761344/1426887265	http://pbs.twimg.com/profile_images/579037583277047808/aIXp2dDl_normal.jpeg	0084B4	C0DEED	DDEEF6	333333	True	False		False	Tue Jun 21 15:31:25 +0000 2016	1.0	False		745277953785892865				False				False	1.0	False	"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>"	False	122	http://t.co/3lk4b3enzp	-14400.0	2
Mon Sep 03 22:51:58 +0000 2012	Charles Hampton	AbysmalCactus	United States Marine. Happily Taken.  Any questions? Ask away. I'm not shy.	en	North Canton, OH	False	en	RT @yanadelrey: fuck all that love bullshit. i wanna watch people get murdered.		False	True	False	7	False	17	False	103	False	False	801379369	False	False	0	False	C0DEED	http://abs.twimg.com/images/themes/theme1/bg.png	False		http://pbs.twimg.com/profile_images/3067813187/50b09e158da8d846713cd2376eb8d49e_normal.jpeg	0084B4	C0DEED	DDEEF6	333333	True	False		False	Sat Feb 02 16:58:54 +0000 2013	0.0	False		297750957033402369				False					1.0	False	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	False	94			1
